#frame-timestamp,tcp-ack-rtt,tcp-stream-id,retransmission,ip-dst
1616961907.667275662,0.000578410,1,,192.168.225.21
1616961907.668226896,0.000479736,1,,192.168.225.21
1616961907.668813792,0.000313361,1,,192.168.225.21
1616961907.669786812,0.000519100,1,,192.168.225.21
1616961907.679787489,0.000634597,1,,192.168.225.21
1616961907.690024858,0.000626785,1,,192.168.225.21
1616961907.700260942,0.000640799,1,,192.168.225.21
1616961907.710547521,0.000710860,1,,192.168.225.21
1616961907.720852553,0.000806471,1,,192.168.225.21
1616961907.730975372,0.000736249,1,,192.168.225.21
1616961907.741279895,0.000827203,1,,192.168.225.21
1616961907.751398134,0.000758416,1,,192.168.225.21
1616961907.761667989,0.000802887,1,,192.168.225.21
1616961907.771880173,0.000752446,1,,192.168.225.21
1616961907.782153018,0.000818914,1,,192.168.225.21
1616961907.792382752,0.000816370,1,,192.168.225.21
1616961907.802574427,0.000776872,1,,192.168.225.21
1616961907.812714951,0.000697971,1,,192.168.225.21
1616961907.823024281,0.000763669,1,,192.168.225.21
1616961907.833253542,0.000775239,1,,192.168.225.21
1616961907.843364438,0.000700632,1,,192.168.225.21
1616961907.853628720,0.000765088,1,,192.168.225.21
1616961907.863843534,0.000758903,1,,192.168.225.21
1616961907.873996950,0.000732421,1,,192.168.225.21
1616961907.884290074,0.000776857,1,,192.168.225.21
1616961907.894563761,0.000790244,1,,192.168.225.21
1616961907.904778298,0.000800281,1,,192.168.225.21
1616961907.914978736,0.000767942,1,,192.168.225.21
1616961907.925300201,0.000872172,1,,192.168.225.21
1616961907.935498572,0.000867943,1,,192.168.225.21
1616961907.945683287,0.000861915,1,,192.168.225.21
1616961907.955755814,0.000704776,1,,192.168.225.21
1616961907.966032974,0.000795051,1,,192.168.225.21
1616961907.976226273,0.000838602,1,,192.168.225.21
1616961907.986410687,0.000812337,1,,192.168.225.21
1616961907.996635544,0.000804671,1,,192.168.225.21
1616961908.006881776,0.000789763,1,,192.168.225.21
1616961908.016998796,0.000771940,1,,192.168.225.21
1616961908.027178873,0.000727598,1,,192.168.225.21
1616961908.037391373,0.000757970,1,,192.168.225.21
1616961908.047724389,0.000776784,1,,192.168.225.21
1616961908.057842087,0.000753482,1,,192.168.225.21
1616961908.068109413,0.000844696,1,,192.168.225.21
1616961908.078127932,0.000674126,1,,192.168.225.21
1616961908.088310280,0.000748698,1,,192.168.225.21
1616961908.098507907,0.000709360,1,,192.168.225.21
1616961908.108821756,0.000895507,1,,192.168.225.21
1616961908.118889894,0.000745359,1,,192.168.225.21
1616961908.129153274,0.000802308,1,,192.168.225.21
1616961908.139373792,0.000800635,1,,192.168.225.21
1616961908.149629125,0.000805498,1,,192.168.225.21
1616961908.159742616,0.000763135,1,,192.168.225.21
1616961908.170008584,0.000797121,1,,192.168.225.21
1616961908.180306312,0.000843129,1,,192.168.225.21
1616961908.190431107,0.000715908,1,,192.168.225.21
1616961908.200607640,0.000697877,1,,192.168.225.21
1616961908.210877546,0.000748248,1,,192.168.225.21
1616961908.221092164,0.000726074,1,,192.168.225.21
1616961908.231389718,0.000758248,1,,192.168.225.21
1616961908.241586123,0.000744031,1,,192.168.225.21
1616961908.251770422,0.000761411,1,,192.168.225.21
1616961908.261997945,0.000750205,1,,192.168.225.21
1616961908.272221316,0.000744321,1,,192.168.225.21
1616961908.282506456,0.000788890,1,,192.168.225.21
1616961908.292816055,0.000853129,1,,192.168.225.21
1616961908.302995246,0.000768790,1,,192.168.225.21
1616961908.313194029,0.000758079,1,,192.168.225.21
1616961908.323437672,0.000782903,1,,192.168.225.21
1616961908.333694962,0.000818314,1,,192.168.225.21
1616961908.343840024,0.000792257,1,,192.168.225.21
1616961908.354113003,0.000815586,1,,192.168.225.21
1616961908.364252344,0.000755387,1,,192.168.225.21
1616961908.374503500,0.000774840,1,,192.168.225.21
1616961908.384716354,0.000739712,1,,192.168.225.21
1616961908.394983000,0.000781669,1,,192.168.225.21
1616961908.405222298,0.000779201,1,,192.168.225.21
1616961908.415386794,0.000758470,1,,192.168.225.21
1616961908.425608388,0.000742289,1,,192.168.225.21
1616961908.435784936,0.000711908,1,,192.168.225.21
1616961908.445912835,0.000691453,1,,192.168.225.21
1616961908.456031837,0.000636889,1,,192.168.225.21
1616961908.466240429,0.000700056,1,,192.168.225.21
1616961908.476421495,0.000785600,1,,192.168.225.21
1616961908.486544060,0.000716234,1,,192.168.225.21
1616961908.496709562,0.000707033,1,,192.168.225.21
1616961908.506844451,0.000680656,1,,192.168.225.21
1616961908.517019630,0.000673409,1,,192.168.225.21
1616961908.527216199,0.000693491,1,,192.168.225.21
1616961908.537358327,0.000681407,1,,192.168.225.21
1616961908.547585911,0.000734519,1,,192.168.225.21
1616961908.557787210,0.000756688,1,,192.168.225.21
1616961908.568146281,0.000922093,1,,192.168.225.21
1616961908.578165461,0.000776292,1,,192.168.225.21
1616961908.588252567,0.000689773,1,,192.168.225.21
1616961908.598461134,0.000712147,1,,192.168.225.21
1616961908.608647661,0.000742627,1,,192.168.225.21
1616961908.618787775,0.000689386,1,,192.168.225.21
1616961908.628956328,0.000636752,1,,192.168.225.21
1616961908.639115186,0.000694970,1,,192.168.225.21
1616961908.649398406,0.000746624,1,,192.168.225.21
1616961908.659574791,0.000760085,1,,192.168.225.21
1616961908.669675093,0.000692503,1,,192.168.225.21
1616961908.679973477,0.000770845,1,,192.168.225.21
1616961908.690161118,0.000732554,1,,192.168.225.21
1616961908.700395357,0.000711309,1,,192.168.225.21
